player1 strategy, player1 score, player2 strategy, player2 score

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 3000,c,3000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 0,b,5000

c, 1518,r,3988

c, 1491,r,4006

c, 1467,r,4022

c, 1620,r,3920

c, 1509,r,3994

c, 1530,r,3980

c, 1587,r,3942

c, 1542,r,3972

c, 1530,r,3980

c, 1536,r,3976

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 3000,=,3000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

c, 0,!,5000

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 5000,c,0

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 1000,b,1000

b, 2904,r,524

b, 2920,r,520

b, 3064,r,484

b, 3004,r,499

b, 2976,r,506

b, 3116,r,471

b, 3044,r,489

b, 3196,r,451

b, 2944,r,514

b, 2892,r,527

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 1000,=,1000

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

b, 5000,!,0

r, 3980,c,1530

r, 4018,c,1473

r, 4040,c,1440

r, 3974,c,1539

r, 3964,c,1554

r, 4022,c,1467

r, 4042,c,1437

r, 3980,c,1530

r, 4026,c,1461

r, 4046,c,1431

r, 511,b,2956

r, 483,b,3068

r, 512,b,2952

r, 503,b,2988

r, 490,b,3040

r, 486,b,3056

r, 487,b,3052

r, 479,b,3084

r, 524,b,2904

r, 461,b,3156

r, 2303,r,2138

r, 2235,r,2355

r, 2108,r,2283

r, 2224,r,2309

r, 2288,r,2278

r, 2211,r,2186

r, 2246,r,2231

r, 2117,r,2337

r, 2236,r,2306

r, 2453,r,2043

r, 2017,=,2022

r, 2030,=,2030

r, 2014,=,2009

r, 1967,=,1972

r, 2004,=,2004

r, 2018,=,2018

r, 1974,=,1969

r, 1947,=,1952

r, 1986,=,1986

r, 1940,=,1935

r, 2463,!,2538

r, 2603,!,2398

r, 2440,!,2560

r, 2541,!,2456

r, 2436,!,2561

r, 2410,!,2590

r, 2510,!,2490

r, 2536,!,2461

r, 2391,!,2606

r, 2460,!,2540

=, 3000,c,3000

=, 3000,c,3000

=, 3002,c,2997

=, 3002,c,2997

=, 3002,c,2997

=, 3002,c,2997

=, 3002,c,2997

=, 3000,c,3000

=, 3002,c,2997

=, 3000,c,3000

=, 999,b,1004

=, 999,b,1004

=, 1000,b,1000

=, 1000,b,1000

=, 999,b,1004

=, 999,b,1004

=, 1000,b,1000

=, 1000,b,1000

=, 1000,b,1000

=, 1000,b,1000

=, 2199,r,2204

=, 2263,r,2263

=, 2205,r,2205

=, 2257,r,2257

=, 2293,r,2288

=, 2165,r,2165

=, 2223,r,2223

=, 2217,r,2222

=, 2211,r,2206

=, 2223,r,2223

=, 1000,=,1000

=, 999,=,1004

=, 3002,=,2997

=, 1000,=,1000

=, 1000,=,1000

=, 3000,=,3000

=, 1000,=,1000

=, 1000,=,1000

=, 3002,=,2997

=, 999,=,1004

=, 2500,!,2500

=, 2500,!,2500

=, 2500,!,2500

=, 2501,!,2496

=, 2500,!,2500

=, 2498,!,2503

=, 2500,!,2500

=, 2501,!,2496

=, 2498,!,2503

=, 2501,!,2496

!, 4998,c,3

!, 5000,c,0

!, 4998,c,3

!, 4998,c,3

!, 4998,c,3

!, 4998,c,3

!, 4998,c,3

!, 5000,c,0

!, 4998,c,3

!, 5000,c,0

!, 0,b,5000

!, 1,b,4996

!, 0,b,5000

!, 1,b,4996

!, 1,b,4996

!, 1,b,4996

!, 1,b,4996

!, 0,b,5000

!, 1,b,4996

!, 1,b,4996

!, 2243,r,2228

!, 2195,r,2320

!, 2238,r,2288

!, 2275,r,2230

!, 2251,r,2231

!, 2336,r,2176

!, 2223,r,2263

!, 2360,r,2140

!, 2275,r,2220

!, 2444,r,2074

!, 2000,=,2000

!, 2000,=,2000

!, 2002,=,1997

!, 2000,=,2000

!, 2002,=,1997

!, 2002,=,1997

!, 2000,=,2000

!, 2000,=,2000

!, 2002,=,1997

!, 1999,=,2004

!, 1,!,4996

!, 5000,!,0

!, 1,!,4996

!, 1,!,4996

!, 5000,!,0

!, 5000,!,0

!, 5000,!,0

!, 4998,!,3

!, 0,!,5000

!, 5000,!,0
